name,latitude,longitude,weight
id_226,-1.3765098,36.9262854,1
id_227,-1.3784306,36.9284069,1
id_228,-1.3807913,36.9262571,1
id_229,-1.3810101,36.9276862,1
id_230,-1.38055,36.9285167,1
id_231,-1.3808814,36.928816,1
id_232,-1.3839746,36.9274756,1
id_233,-1.3799541,36.9393067,1
id_234,-1.3807978,36.9405266,1
id_235,-1.3898771,36.9380014,1
id_236,-1.3909021,36.934438,1
id_237,-1.3929819,36.9380735,1
id_238,-1.3929121,36.9377121,1
id_239,-1.3913424,36.9384258,1
id_240,-1.3933129,36.9386111,1
id_241,-1.3940112,36.9390909,1
id_242,-1.3952743,36.9394493,1
id_243,-1.3950322,36.9396628,1
id_244,-1.3989602,36.9412503,1
id_245,-1.4022772,36.9473272,1
id_246,-1.3994542,36.9434918,1
id_247,-1.3979647,36.942857,1
id_248,-1.3973987,36.9424804,1
id_249,-1.3949856,36.9408956,1
id_250,-1.395168,36.9408483,1
id_251,-1.3945594,36.9405451,1
id_252,-1.3941047,36.9402987,1
id_253,-1.3922718,36.9391925,1
id_254,-1.4134273,36.949619,1
id_255,-1.417286,36.9533585,1
id_256,-1.4177472,36.9535865,1
id_257,-1.4196563,36.9540436,1
id_258,-1.4196804,36.954439,1
id_259,-1.4196563,36.9546488,1
id_260,-1.417872,36.953624,1
id_261,-1.4194294,36.9542017,1
id_262,-1.3686764,36.9479394,1
id_263,-1.4005394,36.944069,1
id_264,-1.3926668,36.9394981,1
id_265,-1.3927135,36.9394358,1
id_266,-1.3917053,36.9374148,1
id_267,-1.3878699,36.9364666,1
id_268,-1.3822285,36.938719,1
id_269,-1.3766482,36.9264093,1
id_270,-1.3679667,36.922309,1
id_271,-1.3840881,36.9247511,1
id_272,-1.3573745,36.9077691,1
id_273,-1.3579769,36.908198,1
id_274,-1.3542114,36.9056256,1
id_275,-1.3833998,36.812752,1
id_276,-1.3883355,36.8325169,1
id_277,-1.4131807,36.8987404,1
id_278,-1.3985938,36.9430549,1
id_279,-1.3938326,36.938756,1
id_280,-1.3917659,36.9388478,1
id_281,-1.381995,36.9220744,1
id_282,-1.352216,36.8927797,1
id_283,-1.3651538,36.9182967,1
id_284,-1.3644152,36.9175682,1
id_285,-1.3760209,36.9465911,1
id_286,-1.3760656,36.9466745,1
id_287,-1.3536957,36.9502529,1
id_288,-1.4027024,36.8115587,1
id_289,-1.3648761,36.9125629,1
id_290,-1.3651172,36.9126679,1
id_291,-1.3651424,36.9127116,1
id_292,-1.3733932,36.9460401,1
id_293,-1.3741535,36.921512,1
id_294,-1.3575072,36.9391314,1
id_295,-1.3574238,36.93927,1
id_296,-1.3642277,36.9122316,1
id_297,-1.3632317,36.9435928,1
id_298,-1.3744697,36.9455783,1
id_299,-1.3919397,36.9405555,1
id_300,-1.3640799,36.9117903,1
id_301,-1.3607381,36.9179971,1
id_302,-1.3561146,36.9000189,1
id_303,-1.3714732,36.952393,1
id_304,-1.3591353,36.9371725,1
id_305,-1.3698504,36.9184983,1
id_306,-1.3781515,36.9278713,1
id_307,-1.3780909,36.9278176,1
id_308,-1.3735916,36.9336153,1
id_309,-1.3716104,36.9359377,1
id_310,-1.3770939,36.9460426,1
id_311,-1.3765604,36.9299648,1
id_312,-1.3891625,36.9354782,1
id_313,-1.434058,36.9312154,1
id_314,-1.4371671,36.9076471,1
id_315,-1.4099817,36.8731626,1
id_316,-1.4219803,36.8612168,1
id_317,-1.4295217,36.8295345,1
id_318,-1.4181458,36.8294479,1
id_319,-1.4136072,36.8542976,1
id_320,-1.3923649,36.9439393,1
id_321,-1.3885682,36.9415663,1
id_322,-1.4341116,36.9316821,1
id_323,-1.4151917,36.8557715,1
id_324,-1.3888032,36.9354836,1
id_325,-1.3811230815632498,36.92333414845659,1
id_326,-1.4382326,36.9696,1
id_327,-1.4368233,36.9734981,1
id_328,-1.4400173,36.9732205,1
id_329,-1.4405337,37.0490511,1
id_330,-1.439109,37.0463241,1
id_331,-1.439484,37.0470843,1
id_332,-1.4398327,37.0464337,1
id_333,-1.4401567,37.0466982,1
id_334,-1.4380601,37.0470398,1
id_335,-1.4381146,37.0474728,1
id_336,-1.4380812,37.0462467,1
id_337,-1.4389764,36.9681625,1
id_338,-1.439511,36.9786589,1
id_339,-1.4365629,36.9750432,1
id_340,-1.4187219,36.959827,1
id_341,-1.4274405,36.9692361,1
id_342,-1.4353769,37.0393953,1
id_343,-1.4372934,36.9765102,1
id_344,-1.4294686,36.9677055,1
id_345,-1.4368629,36.9754329,1
id_346,-1.4171322,36.9582485,1
id_347,-1.4301188,36.9610746,1
id_348,-1.428178,36.9596855,1
id_349,-1.4272077,36.9608235,1
id_350,-1.4254509,36.9587148,1
id_351,-1.4242438,36.9603063,1
id_352,-1.4393372,36.9820053,1
id_353,-1.4265967,36.9595662,1
id_354,-1.4400379,36.9822076,1
id_355,-1.3622621,36.9599385,1
id_356,-1.4382764,37.0467664,1
id_357,-1.43301,36.97462,1
id_358,-1.423515,36.9829278,1
id_359,-1.3662307,37.0677025,1
id_360,-1.3976821,37.0296193,1
id_361,-1.3517056,37.0352755,1
id_362,-1.3489823,36.99609,1
id_363,-1.3976392,37.0301182,1
id_364,-1.36622,37.06796,1
id_365,-1.3513141,37.0356134,1
id_366,-1.3484835,36.9968088,1
id_367,-1.4363030272868549,36.965720076140116,1
id_368,-1.2948671,36.8029188,1
id_369,-1.2923577,36.8062444,1
id_370,-1.316594,36.7184194,1
id_371,-1.2999749,36.7886658,1
id_372,-1.2982549,36.7630381,1
id_373,-1.3004095,36.7807689,1
id_374,-1.307832,36.7611432,1
id_375,-1.3041947,36.7461493,1
id_376,-1.2990005,36.7597173,1
id_377,-1.3289322,36.7125438,1
id_378,-1.3386102,36.7397838,1
id_379,-1.3427577,36.7645017,1
id_380,-1.3401766,36.7532749,1
id_381,-1.2949784,36.799972,1
id_382,-1.294902,36.7996806,1
id_383,-1.2949839,36.7981018,1
id_384,-1.2942562,36.7960167,1
id_385,-1.293115,36.7933716,1
id_386,-1.2925643,36.7868253,1
id_387,-1.2920042,36.7848953,1
id_388,-1.2674856,36.8040596,1
id_389,-1.2663406,36.7993414,1
id_390,-1.2638318,36.8030678,1
id_391,-1.2632851,36.8043073,1
id_392,-1.2625883,36.805176,1
id_393,-1.2631189,36.8079841,1
id_394,-1.2633552,36.8092403,1
id_395,-1.2643036,36.8100102,1
id_396,-1.2614308,36.8018676,1
id_397,-1.2609,36.8021065,1
id_398,-1.2638579,36.8054258,1
id_399,-1.2888973,36.8057628,1
id_400,-1.2890001,36.8042077,1
id_401,-1.2861034,36.7966312,1
